Name,Age,Email,Phone Number,Address,Date of Birth,Salary,Joining Date,Department
Kelly Esparza,30,ellenbryant@example.net,626.851.9303x584,"83786 Charlene Glen Suite 267, West Christina, WY 51894",1959-05-31,104199,2023-03-24,HR
David Smith,52,debraprice@example.org,001-979-460-7548x337,"5121 Casey Valleys Suite 874, East Courtneychester, NE 77678",1976-03-25,50035,2024-09-12,Engineering
Andrea Williams,29,edward60@example.com,(416)952-0220,"62347 Case Fall, New Carlytown, TN 57804",1994-02-23,100766,2023-02-10,HR
Stephen Ward,42,yalvarado@example.net,+1-652-904-7503,"0898 Johnson Divide, East Lori, MP 98585",1974-03-22,103358,2021-06-26,Marketing
Angela Howard,64,bpowers@example.com,292-962-9402x75399,"252 Shannon Expressway, Cameronchester, OK 17872",1994-07-23,115097,2020-01-10,Product
Mary Cantu,54,tiffany23@example.com,001-305-936-4688,"85022 Dana Harbors, Ambertown, GU 77639",1983-02-07,102193,2021-03-14,Sales
William Cummings,51,joelcarter@example.net,6054814879,"796 Joshua Ferry, Port Monicaside, ME 14080",1981-07-16,100419,2023-10-30,HR
Patrick Rice,38,randall00@example.org,+1-738-595-3302x292,"9596 Pace Port, Jeremyfurt, MO 19101",1990-09-25,68722,2020-11-12,Sales
Julie Soto,57,jnelson@example.org,(214)792-4481x551,"336 Ingram Summit Apt. 838, Conwayport, NH 69686",1955-05-25,80896,2020-11-25,Product
Tanya Combs,53,pbraun@example.com,595-821-3280x31842,"USS Cunningham, FPO AA 29696",1966-05-28,78807,2024-05-31,Sales
Christopher Hoover,20,alishataylor@example.net,883.815.1492x328,"4399 Mcbride Divide Apt. 230, Baxterside, AZ 06340",2000-09-11,111027,2023-09-27,Marketing
Mr. Juan Mcdowell,29,cathycalderon@example.org,(307)806-6666x5340,"1546 Johnson Green Suite 249, Michellechester, MN 10636",1957-09-05,83230,2023-05-10,Engineering
Martha Adams,37,klee@example.org,2219880161,"696 Baker Keys Suite 465, Sandraside, LA 48874",2005-03-15,88063,2022-01-25,HR
Heather Smith MD,55,jacobfrank@example.com,+1-852-448-4334x38700,"Unit 1238 Box 0261, DPO AP 60704",1998-07-20,36175,2024-02-21,Product
Amy Casey,70,xrichardson@example.net,(448)575-5767x3922,"42840 Johnson Turnpike, Chelseaville, UT 75010",2001-10-04,62279,2020-10-20,HR
Daniel Hoover,34,rebecca89@example.com,611.887.7756x516,"97124 Howard Cliff, Lake Michaelfort, NJ 78869",1971-10-30,47625,2023-04-13,Marketing
Olivia Tanner,51,robertbanks@example.org,9893829559,"USNS Bass, FPO AP 60393",2000-09-26,109597,2020-12-15,Marketing
John Dorsey,44,ydiaz@example.com,466-711-9345,"66946 Mitchell Drives, North April, MA 08660",1999-09-19,70081,2023-05-06,HR
Samuel Parsons,41,sandersrobert@example.com,001-422-600-2262x5631,"76299 Christopher Lodge Apt. 173, East Patriciafort, NE 12750",1978-05-27,65850,2022-06-18,Sales
Tonya White,41,tracey08@example.org,(745)782-7195x1344,"2204 Eric Rapids Apt. 494, Travismouth, VT 47172",1979-04-21,114368,2023-06-10,Engineering
Jeffrey Lee,62,willismary@example.net,9022627601,"USS Dominguez, FPO AP 14925",1954-03-30,95002,2024-07-31,HR
John Parker,29,epatterson@example.net,+1-819-531-2121x41810,"352 Brown Courts Apt. 482, Wisefort, PW 52261",1979-10-21,63376,2024-08-12,Marketing
Teresa Moody,47,castillojeremy@example.net,685.993.5586x8634,"4750 Gregory Villages, Janiceberg, RI 53981",1959-04-01,76895,2022-09-06,Product
Mark Stanton,39,irichardson@example.org,777-499-7586x702,"74287 Gloria Forge Apt. 891, Lake Heatherside, WY 83077",1963-11-17,110158,2021-04-01,Marketing
Anna Watkins,47,nicolelopez@example.net,+1-246-650-2167x448,"255 Brandi Divide Suite 030, Port Maryberg, WV 42676",1987-03-24,94417,2021-09-11,HR
